tempo_restante_execucao,tempo_decorrido,tempo_restante_deadline,total_preempcoes,prioridade_base,tipo_processo,deadline_perdido
6.0,0.0,12.0,0.0,95.0,100.0,1
7.0,0.0,12.0,0.0,98.0,100.0,1
7.0,0.0,11.0,0.0,90.0,100.0,1
14.0,0.0,23.0,0.0,85.0,80.0,1
7.0,0.0,17.0,0.0,80.0,80.0,1
16.0,0.0,23.0,0.0,75.0,80.0,1
7.0,0.0,34.0,0.0,70.0,60.0,1
14.0,0.0,32.0,0.0,65.0,60.0,1
22.0,0.0,53.0,0.0,60.0,60.0,1
8.0,0.0,46.0,0.0,50.0,40.0,1
7.0,0.0,72.0,0.0,45.0,40.0,1
8.0,0.0,68.0,0.0,40.0,40.0,1
14.0,0.0,86.0,0.0,30.0,20.0,1
8.0,0.0,138.0,0.0,25.0,20.0,1
12.0,0.0,177.0,0.0,20.0,20.0,0
7.0,4.01,7.99,0.0,98.0,100.0,1
7.0,4.01,6.99,0.0,90.0,100.0,1
2.0,4.01,7.99,1.0,95.0,100.0,1
14.0,4.01,18.990000000000002,0.0,85.0,80.0,1
7.0,4.01,12.99,0.0,80.0,80.0,1
16.0,4.01,18.990000000000002,0.0,75.0,80.0,1
7.0,4.01,29.990000000000002,0.0,70.0,60.0,1
14.0,4.01,27.990000000000002,0.0,65.0,60.0,1
22.0,4.01,48.99,0.0,60.0,60.0,1
8.0,4.01,41.99,0.0,50.0,40.0,1
7.0,4.01,67.99,0.0,45.0,40.0,1
8.0,4.01,63.99,0.0,40.0,40.0,1
14.0,4.01,81.99,0.0,30.0,20.0,1
8.0,4.01,133.99,0.0,25.0,20.0,1
12.0,4.01,172.99,0.0,20.0,20.0,0
7.0,8.02,2.9800000000000004,0.0,90.0,100.0,1
2.0,8.02,3.9800000000000004,1.0,95.0,100.0,1
3.0,8.02,3.9800000000000004,1.0,98.0,100.0,1
14.0,8.02,14.98,0.0,85.0,80.0,1
7.0,8.02,8.98,0.0,80.0,80.0,1
16.0,8.02,14.98,0.0,75.0,80.0,1
7.0,8.02,25.98,0.0,70.0,60.0,1
14.0,8.02,23.98,0.0,65.0,60.0,1
22.0,8.02,44.980000000000004,0.0,60.0,60.0,1
8.0,8.02,37.980000000000004,0.0,50.0,40.0,1
7.0,8.02,63.980000000000004,0.0,45.0,40.0,1
8.0,8.02,59.980000000000004,0.0,40.0,40.0,1
14.0,8.02,77.98,0.0,30.0,20.0,1
8.0,8.02,129.98,0.0,25.0,20.0,1
12.0,8.02,168.98,0.0,20.0,20.0,0
2.0,12.03,-0.02999999999999936,1.0,95.0,100.0,1
3.0,12.03,-0.02999999999999936,1.0,98.0,100.0,1
3.0,12.03,-1.0299999999999994,1.0,90.0,100.0,1
14.0,12.03,10.97,0.0,85.0,80.0,1
7.0,12.03,4.970000000000001,0.0,80.0,80.0,1
16.0,12.03,10.97,0.0,75.0,80.0,1
7.0,12.03,21.97,0.0,70.0,60.0,1
14.0,12.03,19.97,0.0,65.0,60.0,1
22.0,12.03,40.97,0.0,60.0,60.0,1
8.0,12.03,33.97,0.0,50.0,40.0,1
7.0,12.03,59.97,0.0,45.0,40.0,1
8.0,12.03,55.97,0.0,40.0,40.0,1
14.0,12.03,73.97,0.0,30.0,20.0,1
8.0,12.03,125.97,0.0,25.0,20.0,1
12.0,12.03,164.97,0.0,20.0,20.0,0
3.0,14.04,-2.039999999999999,1.0,98.0,100.0,1
3.0,14.04,-3.039999999999999,1.0,90.0,100.0,1
14.0,14.04,8.96,0.0,85.0,80.0,1
7.0,14.04,2.960000000000001,0.0,80.0,80.0,1
16.0,14.04,8.96,0.0,75.0,80.0,1
7.0,14.04,19.96,0.0,70.0,60.0,1
14.0,14.04,17.96,0.0,65.0,60.0,1
22.0,14.04,38.96,0.0,60.0,60.0,1
8.0,14.04,31.96,0.0,50.0,40.0,1
7.0,14.04,57.96,0.0,45.0,40.0,1
8.0,14.04,53.96,0.0,40.0,40.0,1
14.0,14.04,71.96000000000001,0.0,30.0,20.0,1
8.0,14.04,123.96000000000001,0.0,25.0,20.0,1
12.0,14.04,162.96,0.0,20.0,20.0,0
3.0,17.05,-6.050000000000001,1.0,90.0,100.0,1
14.0,17.05,5.949999999999999,0.0,85.0,80.0,1
7.0,17.05,-0.05000000000000071,0.0,80.0,80.0,1
16.0,17.05,5.949999999999999,0.0,75.0,80.0,1
7.0,17.05,16.95,0.0,70.0,60.0,1
14.0,17.05,14.95,0.0,65.0,60.0,1
